team_name,year,win_times,sum_score,sum_rebs,sum_assit
ATL,1985,15,3136,1272,656
ATL,1986,55,8777,3647,2048
ATL,1987,57,8890,3768,2078
ATL,1988,49,9094,3629,2088
ATL,1989,49,8958,3591,1887
ATL,1990,40,8982,3553,1911
ATL,1991,41,8893,3740,1875
ATL,1992,37,8571,3667,2102
ATL,1993,50,8637,3598,2010
ATL,1994,50,8424,3697,2079
ATL,1995,43,8030,3340,1692
ATL,1996,49,7668,3304,1511
ATL,1997,59,8012,3476,1617
ATL,1998,31,5165,2296,1038
ATL,1999,42,7211,3535,1312
ATL,2000,27,7437,3615,1518
ATL,2001,26,7682,3507,1643
ATL,2002,34,7693,3454,1680
ATL,2003,32,7885,3636,1727
ATL,2004,24,7146,3190,1513
ATL,2005,15,7736,3429,1593
ATL,2006,28,8034,3325,1643
ATL,2007,36,7622,3303,1622
ATL,2008,43,8456,3580,1910
ATL,2009,47,8248,3307,1662
ATL,2010,53,8469,3530,1927
ATL,2011,26,4807,1980,1067
ATL,2012,56,8820,3731,2072
ATL,2013,43,8495,3500,2156
ATL,2014,43,8145,3207,2012
ATL,2015,58,8710,3438,2169
ATL,2016,27,4965,2073,1249
BKN,2012,16,2919,1277,621
BKN,2013,43,8026,3471,1680
BKN,2014,49,8079,3184,1725
BKN,2015,32,8143,3596,1763
BKN,2016,12,4983,2058,1138
BOS,1985,23,3357,1377,859
BOS,1986,64,9188,3668,2332
BOS,1987,56,8971,3379,2361
BOS,1988,53,9309,3434,2410
BOS,1989,46,9028,3747,2278
BOS,1990,58,9291,3804,2429
BOS,1991,52,9088,3781,2099
BOS,1992,44,8558,3614,2015
BOS,1993,48,8458,3403,2000
BOS,1994,31,8189,3398,1864
BOS,1995,36,8495,3523,1756
BOS,1996,27,8136,3399,1741
BOS,1997,23,8328,3306,1849
BOS,1998,22,5190,2121,1203
BOS,1999,31,7378,3306,1663
BOS,2000,35,8260,3594,1747
BOS,2001,42,7695,3334,1725
BOS,2002,50,8090,3444,1692
BOS,2003,41,7760,3370,1710
BOS,2004,33,7625,3121,1571
BOS,2005,44,8219,3315,1834
BOS,2006,31,8049,3303,1673
BOS,2007,40,7902,3335,1693
BOS,2008,68,8661,3644,1906
BOS,2009,57,8055,3257,1885
BOS,2010,51,8088,3166,1942
BOS,2011,33,5232,2098,1252
BOS,2012,52,8553,3579,2161
BOS,2013,40,7890,3322,1738
BOS,2014,23,7941,3463,1885
BOS,2015,47,8615,3752,2034
BOS,2016,30,5369,2259,1210
CHA,2004,7,2421,1085,589
CHA,2005,21,8189,3588,1806
CHA,2006,25,7895,3264,1759
CHA,2007,35,7826,3156,1778
CHA,2008,32,8168,3437,1787
CHA,2009,36,7505,3227,1674
CHA,2010,43,7933,3404,1748
CHA,2011,24,5049,2153,1149
CHA,2012,14,8427,3723,1859
CHA,2013,27,7664,3406,1606
CHA,2014,39,8125,3492,1827
CHA,2015,40,7754,3584,1658
CHA,2016,31,5302,2242,1105
CHI,1985,13,3728,1470,794
CHI,1986,31,8073,3387,1866
CHI,1987,41,8521,3488,2171
CHI,1988,50,8694,3646,2168
CHI,1989,51,8928,3513,2215
CHI,1990,56,9178,3443,2319
CHI,1991,65,8910,3456,2137
CHI,1992,64,8785,3606,2270
CHI,1993,54,8397,3508,2030
CHI,1994,52,8199,3497,2085
CHI,1995,57,8462,3476,2020
CHI,1996,74,8815,3850,2111
CHI,1997,62,8080,3715,2051
CHI,1998,42,5132,2251,1272
CHI,1999,15,6374,3071,1536
CHI,2000,20,7207,3416,1705
CHI,2001,16,7078,3190,1875
CHI,2002,26,7804,3456,1814
CHI,2003,28,7646,3524,1822
CHI,2004,23,6931,3340,1667
CHI,2005,50,8160,3657,1834
CHI,2006,48,8395,3640,1853
CHI,2007,41,7665,3534,1763
CHI,2008,36,8490,3606,1827
CHI,2009,40,7929,3450,1689
CHI,2010,49,8322,3694,1788
CHI,2011,44,5408,2414,1235
CHI,2012,63,8635,4161,2089
CHI,2013,41,7702,3623,1875
CHI,2014,58,8221,3741,1917
CHI,2015,46,8018,3762,1753
CHI,2016,24,5303,2326,1200
CLE,1985,14,3510,1447,812
CLE,1986,28,8360,3448,1949
CLE,1987,30,8335,3379,1885
CLE,1988,51,8629,3373,2132
CLE,1989,47,8713,3566,2150
CLE,1990,42,8730,3455,2308
CLE,1991,41,8444,3439,2184
CLE,1992,55,8989,3462,2319
CLE,1993,49,8396,3326,2194
CLE,1994,55,8189,3579,1988
CLE,1995,38,7323,2988,1661
CLE,1996,51,7589,3077,1865
CLE,1997,40,7110,3082,1683
CLE,1998,30,5022,2169,1280
CLE,1999,34,7187,3032,1794
CLE,2000,36,7650,3471,1822
CLE,2001,26,7751,3508,1808
CLE,2002,23,8039,3617,1851
CLE,2003,21,7425,3734,1798
CLE,2004,42,7516,3437,1742
CLE,2005,43,7948,3444,1716
CLE,2006,49,7910,3564,1618
CLE,2007,47,8143,3650,1710
CLE,2008,57,8088,3604,1692
CLE,2009,66,8495,3591,1750
CLE,2010,43,7954,3322,1774
CLE,2011,12,5121,2162,1117
CLE,2012,27,8852,4004,1863
CLE,2013,27,7892,3376,1666
CLE,2014,41,8319,3578,1874
CLE,2015,56,8199,3555,1758
CLE,2016,36,5565,2304,1193
DAL,1985,14,3315,1290,743
DAL,1986,49,9441,3482,2059
DAL,1987,53,8944,3596,1905
DAL,1988,53,9067,3818,2003
DAL,1989,36,8534,3541,1823
DAL,1990,42,8152,3280,1822
DAL,1991,30,8467,3568,1833
DAL,1992,12,7536,3401,1501
DAL,1993,11,8145,3534,1681
DAL,1994,24,8030,3577,1751
DAL,1995,31,8510,4048,1951
DAL,1996,28,8255,3552,1901
DAL,1997,19,7569,3404,1590
DAL,1998,15,4823,2097,1000
DAL,1999,28,7611,3335,1584
DAL,2000,51,8419,3436,1806
DAL,2001,54,8197,3382,1752
DAL,2002,61,8630,3554,1786
DAL,2003,53,8410,3541,1862
DAL,2004,53,8471,3620,1813
DAL,2005,61,8479,3490,1610
DAL,2006,62,8201,3473,1563
DAL,2007,63,8277,3438,1657
DAL,2008,50,8210,3638,1755
DAL,2009,53,8473,3495,1841
DAL,2010,57,8188,3317,1920
DAL,2011,34,5554,2246,1306
DAL,2012,47,8982,3957,1969
DAL,2013,47,8463,3414,1961
DAL,2014,54,8996,3477,1973
DAL,2015,46,8283,3488,1777
DAL,2016,23,5116,2131,1113
DEN,1985,19,3629,1336,797
DEN,1986,41,9273,3549,2128
DEN,1987,40,9240,3556,2309
DEN,1988,55,9930,3654,2324
DEN,1989,46,9543,3773,2263
DEN,1990,30,9659,3732,2306
DEN,1991,26,8969,3998,1637
DEN,1992,19,8067,3582,1665
DEN,1993,43,8618,3883,1739
DEN,1994,42,8377,3538,1766
DEN,1995,40,8387,3561,1928
DEN,1996,30,7958,3529,1873
DEN,1997,15,7682,3371,1685
DEN,1998,9,4785,2035,1056
DEN,1999,29,7421,3282,1550
DEN,2000,36,8405,3760,2062
DEN,2001,34,7591,3538,1884
DEN,2002,23,7265,3415,1755
DEN,2003,30,7616,3642,1854
DEN,2004,38,7595,3257,1756
DEN,2005,49,8482,3587,2030
DEN,2006,46,8153,3288,1858
DEN,2007,47,8846,3666,1950
DEN,2008,53,9255,3616,2058
DEN,2009,53,8587,3380,1757
DEN,2010,51,8611,3345,1696
DEN,2011,34,5931,2336,1249
DEN,2012,53,9709,4162,2228
DEN,2013,54,8439,3579,1904
DEN,2014,35,8812,3827,1869
DEN,2015,29,8336,3660,1856
DEN,2016,21,5091,2198,1124
DET,1985,15,3706,1464,878
DET,1986,48,8476,3554,2040
DET,1987,53,9079,3774,2045
DET,1988,56,8972,3688,2061
DET,1989,61,8885,3772,2033
DET,1990,60,8636,3633,2038
DET,1991,46,8208,3760,1807
DET,1992,47,7640,3419,1815
DET,1993,34,8278,3560,1900
DET,1994,21,7940,3242,1763
DET,1995,34,8282,3325,1876
DET,1996,53,7736,3291,1552
DET,1997,46,7832,3346,1616
DET,1998,23,4902,2069,1019
DET,1999,44,7516,3225,1627
DET,2000,40,8442,3539,1710
DET,2001,34,7510,3422,1606
DET,2002,55,7790,3320,1785
DET,2003,49,7636,3479,1600
DET,2004,50,7067,3358,1668
DET,2005,63,7927,3504,1886
DET,2006,58,7987,3393,1894
DET,2007,59,8139,3368,1914
DET,2008,54,7746,3342,1727
DET,2009,31,7805,3502,1603
DET,2010,27,7929,3236,1710
DET,2011,20,5153,2058,1144
DET,2012,35,8780,3937,1821
DET,2013,32,7943,3486,1743
DET,2014,23,7964,3659,1684
DET,2015,42,8448,3849,1744
